"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
7,35,-1.5,1,30273,30933,0.541643139218334,0.0905555271711424,0.451087612047192
7,30,-1.5,1,28390,32816,0.556153528154741,0.105597834771411,0.45055569338333
7,40,-1.5,1,31465,29741,0.530252540619838,0.0835133753652831,0.446739165254555
8,30,-1.5,1,26239,34967,0.56988373179025,0.12449273245384,0.445390999336409
7,30,-1.5,0.8,27702,33504,0.558320597749549,0.114964137800205,0.443356459949344
7,35,-1.5,0.8,29526,31680,0.54341104370264,0.101467371551901,0.441943672150739
8,35,-1.5,1,28122,33084,0.552721381562532,0.111869335660113,0.440852045902419
8,30,-1.5,0.8,25608,35598,0.572302998171554,0.132285954434488,0.440017043737066
8,25,-1.5,1,23632,37574,0.584915076441564,0.146496283171599,0.438418793269965
7,25,-1.5,1,25783,35423,0.568649784812972,0.130430330490785,0.438219454322186
7,40,-1.5,0.8,30688,30518,0.531922356081577,0.0955123809852354,0.436409975096341
8,35,-1.5,0.8,27432,33774,0.55479180129237,0.12082626570079,0.43396553559158
8,40,-1.5,1,29314,31892,0.540107596210412,0.106292564556031,0.433815031654381
8,25,-1.5,0.8,23064,38142,0.586528152644076,0.153142997733379,0.433385154910697
7,25,-1.5,0.8,25158,36048,0.570057857997704,0.138307101201063,0.431750756796641
7,30,-1.5,0.6,26670,34536,0.559415002827313,0.127764473265974,0.431650529561339
8,30,-1.5,0.6,24649,36557,0.573829258906229,0.143328526546237,0.430500732359991
7,35,-1.5,0.6,28417,32789,0.546046750638005,0.115832868827105,0.4302138818109
8,40,-1.5,0.8,28594,32612,0.542003057949691,0.116045658838631,0.42595739911106
8,35,-1.5,0.6,26396,34810,0.558489938726795,0.133019908550242,0.425470030176553
8,30,-1.5,0.5,23961,37245,0.576106312536952,0.15073654536191,0.425369767175042
9,30,-1.5,1,24229,36977,0.572959842957032,0.148232715134029,0.424727127823004
7,30,-1.5,0.5,25937,35269,0.560828688151303,0.136453399300914,0.424375288850389
7,40,-1.5,0.6,29522,31684,0.535210564348666,0.110945625143002,0.424264939205664
8,25,-1.5,0.6,22224,38982,0.586804845523283,0.162595395746505,0.424209449776778
